Date,Price,Open,High,Low,Change%
08-06-2019,5.5209,5.5656,5.5953,5.5062,-0.91%
08-05-2019,5.5715,5.5600,5.6185,5.5240,0.21%
08-02-2019,5.5597,5.6029,5.6188,5.5418,-0.79%
08-01-2019,5.6039,5.5812,5.6295,5.5496,0.31%
07-31-2019,5.5864,5.5559,5.6211,5.5040,0.48%
07-30-2019,5.5597,5.6163,5.6249,5.5424,-0.98%
07-29-2019,5.6148,5.6758,5.6758,5.5935,-1.00%
07-26-2019,5.6718,5.7025,5.7064,5.6000,-0.54%
07-25-2019,5.7027,5.7086,5.7680,5.6395,-0.10%
07-24-2019,5.7085,5.7209,5.7394,5.6944,-0.16%
07-23-2019,5.7178,5.6795,5.7252,5.6610,0.72%
07-22-2019,5.6770,5.6403,5.6947,5.6316,0.39%
07-19-2019,5.6551,5.6176,5.6776,5.6080,0.66%
07-18-2019,5.6181,5.6859,5.7133,5.6128,-1.16%
07-17-2019,5.6842,5.7134,5.7208,5.6656,-0.48%
07-16-2019,5.7118,5.7125,5.7239,5.6845,-0.05%
07-15-2019,5.7148,5.7220,5.7355,5.6968,-0.09%
07-12-2019,5.7200,5.6831,5.7883,5.6604,0.82%
07-11-2019,5.6734,5.6762,5.6935,5.6456,-0.01%
07-10-2019,5.6741,5.7294,5.7599,5.6658,-1.01%
07-09-2019,5.7322,5.7392,5.7485,5.6765,-0.08%
07-08-2019,5.7367,5.6295,5.7940,5.6294,1.92%
07-05-2019,5.6288,5.5952,5.6452,5.5805,0.60%
07-04-2019,5.5953,5.6243,5.6272,5.5725,-0.53%
07-03-2019,5.6249,5.6631,5.6723,5.6002,-0.49%
07-02-2019,5.6528,5.6534,5.7037,5.6193,0.04%
07-01-2019,5.6507,5.7986,5.7986,5.6196,-2.44%
06-28-2019,5.7921,5.7761,5.8029,5.7388,0.34%
06-27-2019,5.7725,5.7770,5.7949,5.7517,-0.04%
06-26-2019,5.7749,5.7930,5.8187,5.7440,-0.35%
06-25-2019,5.7949,5.8089,5.8303,5.7450,-0.24%
06-24-2019,5.8090,5.8213,5.8302,5.6975,-0.21%
06-21-2019,5.8214,5.7609,5.8384,5.7459,0.99%
06-20-2019,5.7644,5.7946,5.8293,5.7223,-0.47%
06-19-2019,5.7914,5.8350,5.9234,5.7876,-0.63%
06-18-2019,5.8284,5.8746,5.8835,5.8126,-0.76%
06-17-2019,5.8733,5.9026,5.9306,5.8476,-0.48%
06-14-2019,5.9015,5.8647,5.9329,5.8450,0.57%
06-13-2019,5.8682,5.8094,5.9055,5.8041,1.04%
06-12-2019,5.8080,5.7967,5.8290,5.7570,0.18%
06-11-2019,5.7976,5.7807,5.8423,5.7455,0.40%
06-10-2019,5.7747,5.8324,5.8592,5.7510,-0.97%
06-07-2019,5.8310,5.7768,5.8690,5.7720,0.88%
06-06-2019,5.7801,5.7303,5.8088,5.7139,0.86%
06-05-2019,5.7310,5.7827,5.7882,5.6641,-0.89%
06-04-2019,5.7824,5.8380,5.8685,5.7520,-0.88%
06-03-2019,5.8339,5.8435,5.8968,5.8196,-0.07%
05-31-2019,5.8382,5.8793,5.9225,5.8090,-0.66%
05-30-2019,5.8772,6.0098,6.0283,5.8496,-2.24%
05-29-2019,6.0121,6.0304,6.0579,5.9901,-0.33%
05-28-2019,6.0319,6.0646,6.0850,5.9811,-0.51%
05-27-2019,6.0629,6.0903,6.1070,6.0270,-0.32%
05-24-2019,6.0825,6.0963,6.1290,6.0370,-0.23%
05-23-2019,6.0964,6.0956,6.1520,6.0845,-0.06%
05-22-2019,6.1002,6.0606,6.1300,6.0518,0.79%
05-21-2019,6.0525,6.0287,6.0820,6.0060,0.42%
05-20-2019,6.0272,6.0631,6.0881,5.9983,-0.46%
05-17-2019,6.0550,6.0425,6.0953,6.0180,0.15%
05-16-2019,6.0457,6.0042,6.0553,5.9893,0.75%
05-15-2019,6.0007,6.0335,6.0891,5.9898,-0.50%
05-14-2019,6.0306,6.0607,6.1162,5.9787,-0.48%
05-13-2019,6.0594,6.0064,6.1346,5.9572,1.24%
05-10-2019,5.9851,6.1988,6.2126,5.9600,-3.35%
05-09-2019,6.1926,6.1810,6.2465,6.1509,0.11%
05-08-2019,6.1860,6.1484,6.1997,6.1375,0.57%
05-07-2019,6.1511,6.0780,6.1979,6.0714,1.16%
05-06-2019,6.0803,5.9664,6.1496,5.9663,1.94%
05-03-2019,5.9648,5.9736,5.9932,5.9577,0.01%
05-02-2019,5.9645,5.9671,5.9829,5.9425,-0.03%
05-01-2019,5.9665,5.9675,5.9699,5.9351,0.02%
04-30-2019,5.9656,5.9488,5.9875,5.9259,0.29%
04-29-2019,5.9483,5.9343,5.9629,5.9130,0.17%
04-26-2019,5.9382,5.9276,5.9696,5.9070,0.19%
04-25-2019,5.9268,5.8750,5.9811,5.8624,0.88%
04-24-2019,5.8753,5.8297,5.8954,5.8224,0.80%
04-23-2019,5.8287,5.8273,5.8534,5.8075,0.03%
04-22-2019,5.8272,5.8112,5.8570,5.8040,0.28%
04-19-2019,5.8112,5.8001,5.8352,5.7685,0.16%
04-18-2019,5.8018,5.7451,5.8543,5.7409,1.10%
04-17-2019,5.7387,5.7709,5.7966,5.6920,-0.55%
04-16-2019,5.7703,5.8073,5.8323,5.7382,-0.58%
04-15-2019,5.8041,5.7676,5.8243,5.7613,0.60%
04-12-2019,5.7693,5.7363,5.8235,5.7000,0.53%
04-11-2019,5.7388,5.6829,5.7600,5.6626,1.00%
04-10-2019,5.6818,5.6916,5.7207,5.6565,-0.22%
04-09-2019,5.6943,5.6897,5.7062,5.6307,0.07%
04-08-2019,5.6903,5.6261,5.7290,5.6111,1.14%
04-05-2019,5.6262,5.5890,5.6505,5.5505,0.60%
04-04-2019,5.5925,5.6265,5.6645,5.5414,-0.60%
04-03-2019,5.6260,5.6069,5.6566,5.5634,0.37%
04-02-2019,5.6050,5.4865,5.6792,5.4755,2.16%
04-01-2019,5.4863,5.5565,5.7040,5.4085,-1.25%
03-29-2019,5.5555,5.5726,5.6822,5.5535,-0.10%
03-28-2019,5.5610,5.3462,5.6275,5.3452,4.38%
03-27-2019,5.3278,5.3374,5.4654,5.2690,-0.00%
03-26-2019,5.3279,5.5469,5.5936,5.2992,-4.01%
03-25-2019,5.5503,5.7631,5.7726,5.5412,-3.69%
03-22-2019,5.7627,5.4654,5.8450,5.4470,5.44%
03-21-2019,5.4652,5.4245,5.4813,5.4205,0.82%
03-20-2019,5.4208,5.4760,5.4859,5.4082,-1.02%
03-19-2019,5.4764,5.4669,5.4884,5.4515,0.15%
03-18-2019,5.4683,5.4480,5.4748,5.4427,0.40%
03-15-2019,5.4467,5.4656,5.4768,5.4398,-0.37%
03-14-2019,5.4671,5.4573,5.4771,5.4538,0.20%
03-13-2019,5.4564,5.4563,5.4812,5.4450,-0.01%
03-12-2019,5.4572,5.4442,5.4672,5.4215,0.21%
03-11-2019,5.4455,5.4270,5.4616,5.4210,0.28%
03-08-2019,5.4303,5.4741,5.4917,5.4200,-0.75%
03-07-2019,5.4712,5.4267,5.4810,5.4170,0.78%
03-06-2019,5.4288,5.3868,5.4474,5.3585,0.78%
03-05-2019,5.3870,5.3718,5.4038,5.3593,0.19%
03-04-2019,5.3769,5.3777,5.4040,5.3632,0.05%
03-01-2019,5.3742,5.3371,5.4054,5.3265,0.70%
02-28-2019,5.3371,5.3080,5.3427,5.3040,0.44%
02-27-2019,5.3136,5.3050,5.3251,5.2808,0.13%
02-26-2019,5.3066,5.3051,5.3215,5.2876,0.08%
02-25-2019,5.3026,5.3198,5.3285,5.2912,-0.30%
02-22-2019,5.3186,5.3159,5.3414,5.3010,-0.05%
02-21-2019,5.3214,5.3288,5.3455,5.2982,-0.06%
02-20-2019,5.3244,5.2838,5.3322,5.2748,0.79%
02-19-2019,5.2828,5.2931,5.3247,5.2786,-0.48%
02-18-2019,5.3083,5.2817,5.3231,5.2762,0.70%
02-15-2019,5.2714,5.2704,5.3111,5.2430,-0.03%
02-14-2019,5.2729,5.2829,5.3252,5.2572,-0.23%
02-13-2019,5.2850,5.2538,5.2985,5.2352,0.64%
02-12-2019,5.2516,5.2787,5.2938,5.2470,-0.50%
02-11-2019,5.2779,5.2499,5.2930,5.2358,0.58%
02-08-2019,5.2474,5.2643,5.2781,5.2220,-0.37%
02-07-2019,5.2668,5.2176,5.2970,5.2085,0.96%
02-06-2019,5.2168,5.2014,5.2414,5.1977,0.35%
02-05-2019,5.1985,5.2217,5.2259,5.1790,-0.38%
02-04-2019,5.2182,5.2031,5.2444,5.2001,0.19%
02-01-2019,5.2084,5.1585,5.2308,5.1585,0.85%
01-31-2019,5.1645,5.2265,5.2462,5.1589,-1.16%
01-30-2019,5.2252,5.3095,5.3253,5.2090,-1.59%
01-29-2019,5.3098,5.3238,5.3647,5.2963,-0.34%
01-28-2019,5.3279,5.2585,5.3432,5.2432,1.12%
01-25-2019,5.2688,5.2615,5.2926,5.2455,0.07%
01-24-2019,5.2650,5.2848,5.3017,5.2446,-0.40%
01-23-2019,5.2860,5.3397,5.3578,5.2727,-1.08%
01-22-2019,5.3435,5.3265,5.3731,5.3216,0.35%
01-21-2019,5.3247,5.3258,5.3589,5.3144,-0.07%
01-18-2019,5.3283,5.3426,5.3777,5.3152,-0.37%
01-17-2019,5.3480,5.3326,5.3921,5.3321,0.22%
01-16-2019,5.3363,5.4500,5.4559,5.3263,-2.03%
01-15-2019,5.4466,5.4461,5.4715,5.4219,0.03%
01-14-2019,5.4447,5.4630,5.5534,5.4310,-0.19%
01-11-2019,5.4550,5.4196,5.5055,5.4000,0.71%
01-10-2019,5.4168,5.4801,5.5083,5.3975,-1.10%
01-09-2019,5.4768,5.4805,5.5486,5.4375,-0.08%
01-08-2019,5.4811,5.3814,5.5155,5.3740,1.79%
01-07-2019,5.3848,5.3362,5.4153,5.3171,1.01%
01-04-2019,5.3311,5.4587,5.4778,5.3058,-2.48%
01-03-2019,5.4664,5.4002,5.8300,5.3857,1.22%
01-02-2019,5.4003,5.3010,5.4215,5.2737,2.02%
01-01-2019,5.2933,5.2896,5.2933,5.2540,0.09%
12-31-2018,5.2887,5.2725,5.3220,5.2530,0.31%
12-28-2018,5.2725,5.2850,5.3008,5.2430,-0.24%
12-27-2018,5.2850,5.2749,5.3073,5.2644,0.16%
12-26-2018,5.2766,5.2965,5.3088,5.2702,-0.63%
12-25-2018,5.3101,5.3003,5.3560,5.2901,0.40%
12-24-2018,5.2890,5.3197,5.3251,5.2763,-0.55%
12-21-2018,5.3181,5.2619,5.3213,5.2300,1.01%
12-20-2018,5.2649,5.2928,5.3303,5.2255,-0.40%
12-19-2018,5.2861,5.3430,5.3551,5.1969,-1.10%
12-18-2018,5.3450,5.3697,5.3902,5.3250,-0.44%
12-17-2018,5.3686,5.3639,5.3973,5.3570,0.10%
12-14-2018,5.3635,5.3352,5.4219,5.3301,0.46%
12-13-2018,5.3392,5.3520,5.3917,5.2990,-0.17%
12-12-2018,5.3482,5.3703,5.4016,5.3309,-0.32%
12-11-2018,5.3653,5.3189,5.4045,5.3010,0.76%
12-10-2018,5.3248,5.2993,5.3580,5.2666,0.41%
12-07-2018,5.3029,5.3308,5.3518,5.2490,-0.67%
12-06-2018,5.3386,5.3258,5.4050,5.3176,0.23%
12-05-2018,5.3262,5.3833,5.4528,5.3020,-1.14%
12-04-2018,5.3875,5.2550,5.4623,5.2332,2.62%
12-03-2018,5.2501,5.2207,5.2938,5.1448,0.72%
11-30-2018,5.2128,5.1625,5.2571,5.1350,0.96%
11-29-2018,5.1631,5.2312,5.2389,5.1322,-1.13%
11-28-2018,5.2219,5.2789,5.2829,5.2097,-0.94%
11-27-2018,5.2716,5.2472,5.3003,5.2153,0.46%
11-26-2018,5.2477,5.2877,5.3009,5.2110,-0.75%
11-23-2018,5.2875,5.2870,5.3121,5.2520,-0.16%
11-22-2018,5.2960,5.3121,5.3517,5.2730,-0.23%
